brand,country,category,scope,notes,source_url,source_publisher,accessed_date
AutoScout24,Europe,vehicle marketplace,pan-European,Pan-European car marketplace with country sites across Europe,https://www.autoscout24.com/,AutoScout24,2026-07-05
mobile.de,Germany,vehicle marketplace,national,Germany's largest vehicle marketplace according to Marlog Europe,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
AUTO1.com,Europe,wholesale car trading platform,pan-European,AUTO1 Group merchant brand for professional car traders,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
Autohero,Europe,online used-car retailer,pan-European,AUTO1 Group retail brand for buying used cars online,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
wirkaufendeinauto.de,Germany,car buying service,national,AUTO1 Group consumer car-selling brand in Germany,https://www.auto1-group.com/company/wirkaufendeinauto/,AUTO1 Group,2026-07-05
wirkaufendeinauto.at,Austria,car buying service,national,AUTO1 Group consumer car-selling brand in Austria,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
vendezvotrevoiture.fr,France,car buying service,national,AUTO1 Group consumer car-selling brand in France,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
vendezvotrevoiture.be,Belgium,car buying service,national,AUTO1 Group consumer car-selling brand in Belgium,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
wijkopenautos.be,Belgium,car buying service,national,AUTO1 Group consumer car-selling brand in Belgium,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
wijkopenautos.nl,Netherlands,car buying service,national,AUTO1 Group consumer car-selling brand in the Netherlands,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
noicompriamoauto.it,Italy,car buying service,national,AUTO1 Group consumer car-selling brand in Italy,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
compramostucoche.es,Spain,car buying service,national,AUTO1 Group consumer car-selling brand in Spain,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
vikoperdinbil.se,Sweden,car buying service,national,AUTO1 Group consumer car-selling brand in Sweden,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
compramososeucarro.pt,Portugal,car buying service,national,AUTO1 Group consumer car-selling brand in Portugal,https://www.auto1-group.com/,AUTO1 Group,2026-07-05
Carvago,Europe,online used-car retailer,pan-European,Cross-border online used-car buying service with European inventory,https://carvago.com/,Carvago,2026-07-05
Auto Trader UK,United Kingdom,vehicle marketplace,national,Major UK new and used car marketplace,https://www.autotrader.co.uk/,Auto Trader,2026-07-05
Gumtree Motors,United Kingdom,classifieds vehicle marketplace,national,General classifieds marketplace with private vehicle listings,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Carwow,United Kingdom,car buying and selling marketplace,national,Online platform for buying new/used cars and selling to dealer network,https://www.carwow.co.uk/,Carwow,2026-07-05
Motorway,United Kingdom,car selling dealer-auction marketplace,national,Online car-selling marketplace with verified dealer bidding,https://motorway.co.uk/,Motorway,2026-07-05
cinch,United Kingdom,online used-car retailer,national,Online used-car retailer with delivery and money-back guarantee,https://www.cinch.co.uk/,cinch,2026-07-05
webuyanycar,United Kingdom,car buying service,national,UK car buying service for direct consumer car sales,https://www.webuyanycar.com/,webuyanycar,2026-07-05
Marktplaats Auto,Netherlands,classifieds vehicle marketplace,national,Dutch marketplace with car listings,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
AutoTrack,Netherlands,vehicle marketplace,national,Dutch vehicle listings site,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Gaspedaal,Netherlands,vehicle metasearch,national,Dutch car listing comparison site,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
2dehands,Belgium,classifieds vehicle marketplace,national,Belgian general marketplace with vehicle listings,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Vroom.be,Belgium,vehicle marketplace,national,Belgian new and used vehicle marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Gocar.be,Belgium,vehicle marketplace,national,Belgian vehicle marketplace with search filters,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Leboncoin Auto,France,classifieds vehicle marketplace,national,French classifieds platform with private vehicle sales,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
ParuVendu Auto,France,classifieds vehicle marketplace,national,French classifieds marketplace with used cars,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
La Centrale,France,vehicle marketplace,national,French specialist used-car marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Coches.net,Spain,vehicle marketplace,national,Spanish vehicle marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Milanuncios Motor,Spain,classifieds vehicle marketplace,national,Spanish general marketplace with vehicle section,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Subito Motori,Italy,classifieds vehicle marketplace,national,Italian classifieds marketplace with vehicle listings,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
willhaben Auto,Austria,classifieds vehicle marketplace,national,Austrian online marketplace with strong car listings,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
AutoScout24.ch,Switzerland,vehicle marketplace,national,Swiss AutoScout24 vehicle marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
tutti.ch Auto,Switzerland,classifieds vehicle marketplace,national,Swiss general marketplace with vehicle listings,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Blocket Fordon,Sweden,classifieds vehicle marketplace,national,Swedish marketplace with vehicle listings,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
FINN motor,Norway,classifieds vehicle marketplace,national,Norwegian vehicle marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Bilbasen,Denmark,vehicle marketplace,national,Danish used-car platform,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Nettiauto,Finland,vehicle marketplace,national,Finnish vehicle marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Otomoto,Poland,vehicle marketplace,national,Polish used-car marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Sauto.cz,Czech Republic,vehicle marketplace,national,Czech automotive website,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Autobazar.sk,Slovakia,vehicle marketplace,national,Slovak used-vehicle marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Használtautó.hu,Hungary,vehicle marketplace,national,Hungarian vehicle marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Autovit.ro,Romania,vehicle marketplace,national,Romanian used-car marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Mobile.bg,Bulgaria,vehicle marketplace,national,Bulgarian vehicle marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
Car.gr,Greece,vehicle marketplace,national,Greek used-car marketplace,https://marlog-europe.com/blog/looking-to-buy-a-car-abroad-these-are-the-best-european-car-websites/,Marlog Europe,2026-07-05
